Key,English(en),Russian(ru),German(de),Spanish(es),Portuguese(pt),French(fr)
super_bullet.desc,Damage: <color=#ffd700>+{1}%</color> for all weapons of <color=#ffd700>1</color> tier\n\n<color=#ffd700>Cost: {2}</color>,Урон: <color=#ffd700>+{1}%</color> для всех оружий <color=#ffd700>1</color> тира\n\n<color=#ffd700>Стоимость: {2}</color>,Schaden: <color=#ffd700>+{1}%</color> für alle Waffen der Stufe <color=#ffd700>1</color>\n\n<color=#ffd700>Kosten: {2}</color>,Daño: <color=#ffd700>+{1}%</color> para todas las armas de nivel <color=#ffd700>1</color>\n\n<color=#ffd700>Coste: {2}</color>,Dano: <color=#ffd700>+{1}%</color> para todas as armas de nível <color=#ffd700>1</color>\n\n<color=#ffd700>Custo: {2}</color>,Dégâts: <color=#ffd700>+{1}%</color> pour toutes les armes de niveau <color=#ffd700>1</color>\n\n<color=#ffd700>Coût: {2}</color>
chaos_ultimate.name,<color=#ffd700>Ultimate Chaos Damage</color>,<color=#ffd700>Ультимативный урон хаосом</color>,<color=#ffd700>Ultimativer Chaosschaden</color>,<color=#ffd700>Daño de caos definitivo</color>,<color=#ffd700>Dano de caos supremo</color>,<color=#ffd700>Dégâts de chaos ultimes</color>
chaos_ultimate.desc,<color=#B790FF>Chaos Damage:</color> <color=#ffd700>+30%</color>\n<color=#B790FF>Chaos Damage:</color> <color=#ffd700>+2%</color> for each other chaos weapon\n\n<color=#ffd700>Cost: {0}</color>,<color=#B790FF>Chaos Damage:</color> <color=#ffd700>+30%</color>\n<color=#B790FF>Chaos Damage:</color> <color=#ffd700>+2%</color> за каждое другое оружие хаоса\n\n<color=#ffd700>Стоимость: {0}</color>,<color=#B790FF>Chaosschaden:</color> <color=#ffd700>+30%</color>\n<color=#B790FF>Chaosschaden:</color> <color=#ffd700>+2%</color> für jede weitere Chaoswaffe\n\n<color=#ffd700>Kosten: {0}</color>,<color=#B790FF>Daño de caos:</color> <color=#ffd700>+30%</color>\n<color=#B790FF>Daño de caos:</color> <color=#ffd700>+2%</color> por cada otra arma de caos\n\n<color=#ffd700>Coste: {0}</color>,<color=#B790FF>Dano de caos:</color> <color=#ffd700>+30%</color>\n<color=#B790FF>Dano de caos:</color> <color=#ffd700>+2%</color> para cada outra arma de caos\n\n<color=#ffd700>Custo: {0}</color>,<color=#B790FF>Dégâts de chaos:</color> <color=#ffd700>+30%</color>\n<color=#B790FF>Dégâts de chaos:</color> <color=#ffd700>+2%</color> pour chaque autre arme de chaos\n\n<color=#ffd700>Coût: {0}</color>
damage_while_shield_active.name,<color=#ffd700>Singularity</color>,<color=#ffd700>Сингулярность</color>,<color=#ffd700>Singularität</color>,<color=#ffd700>Singularidad</color>,<color=#ffd700>Singularidade</color>,<color=#ffd700>Singularité</color>
damage_while_shield_active.desc,Increases outgoing damage by <color=#ffd700>{0}%</color> when Energy Shield is active\n\n<color=#ffd700>Cost: {0}</color>,Увеличивает исходящий урон на <color=#ffd700>{0}%</color> когда энергетический щит активен\n\n<color=#ffd700>Стоимость: {0}</color>,"Erhöht ausgehenden Schaden um <color=#ffd700>{0}%</color>, wenn das Energieschild aktiv ist\n\n<color=#ffd700>Kosten: {0}</color>",Aumenta el daño infligido en <color=#ffd700>{0}%</color> cuando el escudo de energía está activo\n\n<color=#ffd700>Coste: {0}</color>,Aumenta o dano causado em <color=#ffd700>{0}%</color> quando o escudo de energia está ativo\n\n<color=#ffd700>Custo: {0}</color>,Augmente les dégâts infligés de <color=#ffd700>{0}%</color> quand le bouclier d'énergie est actif\n\n<color=#ffd700>Coût: {0}</color>
degen_aura.name,<color=#ffd700>Decay Aura</color>,<color=#ffd700>Аура разложения</color>,<color=#ffd700>Verfallsaura</color>,<color=#ffd700>Aura de decadencia</color>,<color=#ffd700>Aura de decadência</color>,<color=#ffd700>Aura de décomposition</color>
degen_aura.desc,Deals damage equal to your health regeneration to all enemies every second\n\n<color=#ffd700>Cost: {0}</color>,Наносит урон равный показателю регенерации здоровья всем противникам каждую секунду\n\n<color=#ffd700>Стоимость: {0}</color>,Fügt jede Sekunde allen Gegnern Schaden in Höhe deiner Lebensregeneration zu\n\n<color=#ffd700>Kosten: {0}</color>,Inflige daño igual a tu regeneración de salud a todos los enemigos cada segundo\n\n<color=#ffd700>Coste: {0}</color>,Causa dano igual à sua regeneração de vida a todos os inimigos a cada segundo\n\n<color=#ffd700>Custo: {0}</color>,Inflige chaque seconde à tous les ennemis des dégâts égaux à votre régénération de vie\n\n<color=#ffd700>Coût: {0}</color>
heavy_ultimate.name,<color=#ffd700>Ultimate Heavy Damage</color>,<color=#ffd700>Ультимативный тяжелый урон</color>,<color=#ffd700>Ultimativer schwerer Schaden</color>,<color=#ffd700>Daño pesado definitivo</color>,<color=#ffd700>Dano pesado supremo</color>,<color=#ffd700>Dégâts lourds ultimes</color>
heavy_ultimate.desc,<color=#ADACAC>Heavy damage:</color> <color=#ffd700>+30%</color>\n<color=#ADACAC>Heavy damage:</color> <color=#ffd700>+2%</color> for each other heavy weapon\n\n<color=#ffd700>Cost: {0}</color>,<color=#ADACAC>Heavy damage:</color> <color=#ffd700>+30%</color>\n<color=#ADACAC>Heavy damage:</color> <color=#ffd700>+2%</color> за каждое другое тяжелое оружие\n\n<color=#ffd700>Стоимость: {0}</color>,<color=#ADACAC>Schwerer Schaden:</color> <color=#ffd700>+30%</color>\n<color=#ADACAC>Schwerer Schaden:</color> <color=#ffd700>+2%</color> für jede weitere schwere Waffe\n\n<color=#ffd700>Kosten: {0}</color>,<color=#ADACAC>Daño pesado:</color> <color=#ffd700>+30%</color>\n<color=#ADACAC>Daño pesado:</color> <color=#ffd700>+2%</color> por cada otra arma pesada\n\n<color=#ffd700>Coste: {0}</color>,<color=#ADACAC>Dano pesado:</color> <color=#ffd700>+30%</color>\n<color=#ADACAC>Dano pesado:</color> <color=#ffd700>+2%</color> para cada outra arma pesada\n\n<color=#ffd700>Custo: {0}</color>,<color=#ADACAC>Dégâts lourds:</color> <color=#ffd700>+30%</color>\n<color=#ADACAC>Dégâts lourds:</color> <color=#ffd700>+2%</color> pour chaque autre arme lourde\n\n<color=#ffd700>Coût: {0}</color>
magic_ultimate.name,<color=#ffd700>Ultimate Magic Damage</color>,<color=#ffd700>Ультимативный магический урон</color>,<color=#ffd700>Ultimativer magischer Schaden</color>,<color=#ffd700>Daño mágico definitivo</color>,<color=#ffd700>Dano mágico supremo</color>,<color=#ffd700>Dégâts magiques ultimes</color>
magic_ultimate.desc,<color=#58CBF8>Magic damage:</color> <color=#ffd700>+30%</color>\n<color=#58CBF8>Magic damage:</color> <color=#ffd700>+2%</color> for each other magic weapon\n\n<color=#ffd700>Cost: {0}</color>,<color=#58CBF8>Magic damage:</color> <color=#ffd700>+30%</color>\n<color=#58CBF8>Magic damage:</color> <color=#ffd700>+2%</color> за каждое другое магическое оружие\n\n<color=#ffd700>Стоимость: {0}</color>,<color=#58CBF8>Magischer Schaden:</color> <color=#ffd700>+30%</color>\n<color=#58CBF8>Magischer Schaden:</color> <color=#ffd700>+2%</color> für jede weitere magische Waffe\n\n<color=#ffd700>Kosten: {0}</color>,<color=#58CBF8>Daño mágico:</color> <color=#ffd700>+30%</color>\n<color=#58CBF8>Daño mágico:</color> <color=#ffd700>+2%</color> por cada otra arma mágica\n\n<color=#ffd700>Coste: {0}</color>,<color=#58CBF8>Dano mágico:</color> <color=#ffd700>+30%</color>\n<color=#58CBF8>Dano mágico:</color> <color=#ffd700>+2%</color> para cada outra arma mágica\n\n<color=#ffd700>Custo: {0}</color>,<color=#58CBF8>Dégâts magiques:</color> <color=#ffd700>+30%</color>\n<color=#58CBF8>Dégâts magiques:</color> <color=#ffd700>+2%</color> pour chaque autre arme magique\n\n<color=#ffd700>Coût: {0}</color>
mythrill.name,<color=#ffd700>Mithril Walls</color>,<color=#ffd700>Мифриловые стены</color>,<color=#ffd700>Mithril-Mauern</color>,<color=#ffd700>Muros de mitrilo</color>,<color=#ffd700>Muros de mithril</color>,<color=#ffd700>Murs de mithril</color>
mythrill.desc,Max Health Damage: <color=#ffd700>+5%</color>\nMax Health: <color=#ffd700>+25%</color>\n\n<color=#ffd700>Cost: {0}</color>,Урон от максимального здоровья: <color=#ffd700>+5%</color>\nМаксимальное здоровье: <color=#ffd700>+25%</color>\n\n<color=#ffd700>Стоимость: {0}</color>,Schaden nach max. Leben: <color=#ffd700>+5%</color>\nMax. Leben: <color=#ffd700>+25%</color>\n\n<color=#ffd700>Kosten: {0}</color>,Daño según salud máxima: <color=#ffd700>+5%</color>\nSalud máxima: <color=#ffd700>+25%</color>\n\n<color=#ffd700>Coste: {0}</color>,Dano por vida máxima: <color=#ffd700>+5%</color>\nVida máxima: <color=#ffd700>+25%</color>\n\n<color=#ffd700>Custo: {0}</color>,Dégâts selon la vie max: <color=#ffd700>+5%</color>\nVie maximale: <color=#ffd700>+25%</color>\n\n<color=#ffd700>Coût: {0}</color>
normal_ultimate.name,<color=#ffd700>Ultimate Normal Damage</color>,<color=#ffd700>Ультимативный обычный урон</color>,<color=#ffd700>Ultimativer normaler Schaden</color>,<color=#ffd700>Daño normal definitivo</color>,<color=#ffd700>Dano normal supremo</color>,<color=#ffd700>Dégâts normaux ultimes</color>
normal_ultimate.desc,<color=#EED976>Normal damage:</color> <color=#ffd700>+30%</color>\n<color=#EED976>Normal damage:</color> <color=#ffd700>+2%</color> for each other normal weapon\n\n<color=#ffd700>Cost: {0}</color>,<color=#EED976>Normal damage:</color> <color=#ffd700>+30%</color>\n<color=#EED976>Normal damage:</color> <color=#ffd700>+2%</color> за каждое другое обычное оружие\n\n<color=#ffd700>Стоимость: {0}</color>,<color=#EED976>Normaler Schaden:</color> <color=#ffd700>+30%</color>\n<color=#EED976>Normaler Schaden:</color> <color=#ffd700>+2%</color> für jede weitere normale Waffe\n\n<color=#ffd700>Kosten: {0}</color>,<color=#EED976>Daño normal:</color> <color=#ffd700>+30%</color>\n<color=#EED976>Daño normal:</color> <color=#ffd700>+2%</color> por cada otra arma normal\n\n<color=#ffd700>Coste: {0}</color>,<color=#EED976>Dano normal:</color> <color=#ffd700>+30%</color>\n<color=#EED976>Dano normal:</color> <color=#ffd700>+2%</color> para cada outra arma normal\n\n<color=#ffd700>Custo: {0}</color>,<color=#EED976>Dégâts normaux:</color> <color=#ffd700>+30%</color>\n<color=#EED976>Dégâts normaux:</color> <color=#ffd700>+2%</color> pour chaque autre arme normale\n\n<color=#ffd700>Coût: {0}</color>
piercing_ultimate.name,<color=#ffd700>Ultimate Piercing Damage</color>,<color=#ffd700>Ультимативный колющий урон</color>,<color=#ffd700>Ultimativer durchdringender Schaden</color>,<color=#ffd700>Daño perforante definitivo</color>,<color=#ffd700>Dano perfurante supremo</color>,<color=#ffd700>Dégâts perforants ultimes</color>
piercing_ultimate.desc,<color=#70D160>Piercing damage:</color> <color=#ffd700>+30%</color>\n<color=#70D160>Piercing damage:</color> <color=#ffd700>+2%</color> for each other piercing weapon\n\n<color=#ffd700>Cost: {0}</color>,<color=#70D160>Piercing damage:</color> <color=#ffd700>+30%</color>\n<color=#70D160>Piercing damage:</color> <color=#ffd700>+2%</color> за каждое другое колющее оружие\n\n<color=#ffd700>Стоимость: {0}</color>,<color=#70D160>Durchdringender Schaden:</color> <color=#ffd700>+30%</color>\n<color=#70D160>Durchdringender Schaden:</color> <color=#ffd700>+2%</color> für jede weitere durchdringende Waffe\n\n<color=#ffd700>Kosten: {0}</color>,<color=#70D160>Daño perforante:</color> <color=#ffd700>+30%</color>\n<color=#70D160>Daño perforante:</color> <color=#ffd700>+2%</color> por cada otra arma perforante\n\n<color=#ffd700>Coste: {0}</color>,<color=#70D160>Dano perfurante:</color> <color=#ffd700>+30%</color>\n<color=#70D160>Dano perfurante:</color> <color=#ffd700>+2%</color> para cada outra arma perfurante\n\n<color=#ffd700>Custo: {0}</color>,<color=#70D160>Dégâts perforants:</color> <color=#ffd700>+30%</color>\n<color=#70D160>Dégâts perforants:</color> <color=#ffd700>+2%</color> pour chaque autre arme perforante\n\n<color=#ffd700>Coût: {0}</color>
projectile_ultimate.name,<color=#ffd700>Ultimate Projectile Damage</color>,<color=#ffd700>Ультимативный урон от снарядов</color>,<color=#ffd700>Ultimativer Projektilschaden</color>,<color=#ffd700>Daño de proyectil definitivo</color>,<color=#ffd700>Dano de projétil supremo</color>,<color=#ffd700>Dégâts de projectile ultimes</color>
projectile_ultimate.desc,<color=#FF949A>Projectile damage:</color> <color=#ffd700>+30%</color>\n<color=#FF949A>Projectile damage:</color> <color=#ffd700>+2%</color> for each other weapon of this type\n\n<color=#ffd700>Cost: {0}</color>,<color=#FF949A>Projectile damage:</color> <color=#ffd700>+30%</color>\n<color=#FF949A>Projectile damage:</color> <color=#ffd700>+2%</color> за каждое другое оружие этого типа\n\n<color=#ffd700>Стоимость: {0}</color>,<color=#FF949A>Projektilschaden:</color> <color=#ffd700>+30%</color>\n<color=#FF949A>Projektilschaden:</color> <color=#ffd700>+2%</color> für jede weitere Waffe dieses Typs\n\n<color=#ffd700>Kosten: {0}</color>,<color=#FF949A>Daño de proyectil:</color> <color=#ffd700>+30%</color>\n<color=#FF949A>Daño de proyectil:</color> <color=#ffd700>+2%</color> por cada otra arma de este tipo\n\n<color=#ffd700>Coste: {0}</color>,<color=#FF949A>Dano de projétil:</color> <color=#ffd700>+30%</color>\n<color=#FF949A>Dano de projétil:</color> <color=#ffd700>+2%</color> para cada outra arma deste tipo\n\n<color=#ffd700>Custo: {0}</color>,<color=#FF949A>Dégâts de projectile:</color> <color=#ffd700>+30%</color>\n<color=#FF949A>Dégâts de projectile:</color> <color=#ffd700>+2%</color> pour chaque autre arme de ce type\n\n<color=#ffd700>Coût: {0}</color>
spike_ultimate.name,<color=#ffd700>Spiky Shell</color>,<color=#ffd700>Шипастый панцирь</color>,<color=#ffd700>Stachelpanzer</color>,<color=#ffd700>Caparazón con púas</color>,<color=#ffd700>Carapaça espinhosa</color>,<color=#ffd700>Carapace à pointes</color>
spike_ultimate.desc,Thorns <color=#ffd700>+{0}%</color>\n\n<color=#ffd700>Cost: {1}</color>,Шипы на <color=#ffd700>+{0}%</color>\n\n<color=#ffd700>Стоимость: {1}</color>,Dornen <color=#ffd700>+{0}%</color>\n\n<color=#ffd700>Kosten: {1}</color>,Espinas <color=#ffd700>+{0}%</color>\n\n<color=#ffd700>Coste: {1}</color>,Espinhos <color=#ffd700>+{0}%</color>\n\n<color=#ffd700>Custo: {1}</color>,Épines <color=#ffd700>+{0}%</color>\n\n<color=#ffd700>Coût: {1}</color>
br_all.name,<color=#ffd700>Wisdom</color>,<color=#ffd700>Мудрость</color>,<color=#ffd700>Weisheit</color>,<color=#ffd700>Sabiduría</color>,<color=#ffd700>Sabedoria</color>,<color=#ffd700>Sagesse</color>
br_all.desc,Damage: <color=#ffd700>+10%</color>\nAttack Speed: <color=#ffd700>+5%</color>\nMax Health: <color=#ffd700>+20%</color>\nShield: <color=#ffd700>+20%</color>\nHealth on Kill: <color=#ffd700>+25</color>\nGold Gain: <color=#ffd700>+1</color>,Урон: <color=#ffd700>+10%</color>\nСкорость атаки: <color=#ffd700>+5%</color>\nМаксимальное здоровье: <color=#ffd700>+20%</color>\nЩит: <color=#ffd700>+20%</color>\nЗдоровье при убийстве: <color=#ffd700>+25</color>\nПрирост золота: <color=#ffd700>+1</color>,Schaden: <color=#ffd700>+10%</color>\nAngriffstempo: <color=#ffd700>+5%</color>\nMax. Leben: <color=#ffd700>+20%</color>\nSchild: <color=#ffd700>+20%</color>\nLeben bei Kill: <color=#ffd700>+25</color>\nGoldgewinn: <color=#ffd700>+1</color>,Daño: <color=#ffd700>+10%</color>\nVelocidad de ataque: <color=#ffd700>+5%</color>\nSalud máxima: <color=#ffd700>+20%</color>\nEscudo: <color=#ffd700>+20%</color>\nSalud al matar: <color=#ffd700>+25</color>\nGanancia de oro: <color=#ffd700>+1</color>,Dano: <color=#ffd700>+10%</color>\nVelocidade de ataque: <color=#ffd700>+5%</color>\nVida máxima: <color=#ffd700>+20%</color>\nEscudo: <color=#ffd700>+20%</color>\nVida ao matar: <color=#ffd700>+25</color>\nGanho de ouro: <color=#ffd700>+1</color>,Dégâts: <color=#ffd700>+10%</color>\nVitesse d'attaque: <color=#ffd700>+5%</color>\nVie maximale: <color=#ffd700>+20%</color>\nBouclier: <color=#ffd700>+20%</color>\nVie par élimination: <color=#ffd700>+25</color>\nGain d'or: <color=#ffd700>+1</color>
br_damage.name,<color=#ffd700>Titanium Shells</color>,<color=#ffd700>Титановые снаряды</color>,<color=#ffd700>Titangeschosse</color>,<color=#ffd700>Proyectiles de titanio</color>,<color=#ffd700>Projéteis de titânio</color>,<color=#ffd700>Obus en titane</color>
br_damage.desc,Increase global damage by <color=#ffd700>{0}%</color>,"Повышение глобального урона на <color=#ffd700>{0}%</color>
",Erhöht den globalen Schaden um <color=#ffd700>{0}%</color>,Aumenta el daño global en <color=#ffd700>{0}%</color>,Aumenta o dano global em <color=#ffd700>{0}%</color>,Augmente les dégâts globaux de <color=#ffd700>{0}%</color>
br_gold.name,<color=#ffd700>Gold Rush</color>,<color=#ffd700>Золотая лихорадка</color>,<color=#ffd700>Goldrausch</color>,<color=#ffd700>Fiebre del oro</color>,<color=#ffd700>Corrida do ouro</color>,<color=#ffd700>Ruée vers l'or</color>
br_gold.desc,Increases gold per second by <color=#ffd700>{0}</color>,"Увеличивает ежесекундный прирост золота на <color=#ffd700>{0}</color>
",Erhöht das Gold pro Sekunde um <color=#ffd700>{0}</color>,Aumenta el oro por segundo en <color=#ffd700>{0}</color>,Aumenta o ouro por segundo em <color=#ffd700>{0}</color>,Augmente l'or par seconde de <color=#ffd700>{0}</color>
br_golden_damage.name,<color=#ffd700>Midas Glove</color>,<color=#ffd700>Перчатка мидаса</color>,<color=#ffd700>Midas-Handschuh</color>,<color=#ffd700>Guante de Midas</color>,<color=#ffd700>Luva de Midas</color>,<color=#ffd700>Gant de Midas</color>
br_golden_damage.desc,Increase damage by <color=#ffd700>0.5%</color> for every 100 unspent gold,"Повышение урона на <color=#ffd700>0.5%</color>
 за каждые 100 непотраченого золота","Erhöht den Schaden um <color=#ffd700>0,5%</color> je 100 nicht ausgegebenem Gold",Aumenta el daño un <color=#ffd700>0.5%</color> por cada 100 de oro sin gastar,"Aumenta o dano em <color=#ffd700>0,5%</color> para cada 100 de ouro não gasto","Augmente les dégâts de <color=#ffd700>0,5%</color> par tranche de 100 d'or non dépensé"
br_health.name,<color=#ffd700>Fortress</color>,<color=#ffd700>Крепость</color>,<color=#ffd700>Festung</color>,<color=#ffd700>Fortaleza</color>,<color=#ffd700>Fortaleza</color>,<color=#ffd700>Forteresse</color>
br_health.desc,Increase max health by <color=#ffd700>{0}%</color>,"Увеличение максимального здоровья на <color=#ffd700>{0}%</color>
",Erhöht das maximale Leben um <color=#ffd700>{0}%</color>,Aumenta la salud máxima en <color=#ffd700>{0}%</color>,Aumenta a vida máxima em <color=#ffd700>{0}%</color>,Augmente la vie maximale de <color=#ffd700>{0}%</color>
br_regen.name,<color=#ffd700>Recovery</color>,<color=#ffd700>Восстановление</color>,<color=#ffd700>Erholung</color>,<color=#ffd700>Recuperación</color>,<color=#ffd700>Recuperação</color>,<color=#ffd700>Récupération</color>
br_regen.desc,Increase health regeneration by <color=#ffd700>{0}%</color>,"Увеличение Регенерации здоровья на <color=#ffd700>{0}%</color>
",Erhöht die Lebensregeneration um <color=#ffd700>{0}%</color>,Aumenta la regeneración de salud en <color=#ffd700>{0}%</color>,Aumenta a regeneração de vida em <color=#ffd700>{0}%</color>,Augmente la régénération de vie de <color=#ffd700>{0}%</color>
br_shield.name,<color=#ffd700>Magic Protection</color>,<color=#ffd700>Магическая защита</color>,<color=#ffd700>Magischer Schutz</color>,<color=#ffd700>Protección mágica</color>,<color=#ffd700>Proteção mágica</color>,<color=#ffd700>Protection magique</color>
br_shield.desc,Increase max shield by <color=#ffd700>{0}%</color>,"Увеличение максимального щита на <color=#ffd700>{0}%</color>
",Erhöht den maximalen Schild um <color=#ffd700>{0}%</color>,Aumenta el escudo máximo en <color=#ffd700>{0}%</color>,Aumenta o escudo máximo em <color=#ffd700>{0}%</color>,Augmente le bouclier maximal de <color=#ffd700>{0}%</color>
br_spike.name,<color=#ffd700>Barbed Wire</color>,<color=#ffd700>Колючая проволка</color>,<color=#ffd700>Stacheldraht</color>,<color=#ffd700>Alambre de púas</color>,<color=#ffd700>Arame farpado</color>,<color=#ffd700>Barbelés</color>
br_spike.desc,Increase global thorns damage by <color=#ffd700>{0}%</color>,"Увеличение глобального урона от шипов на <color=#ffd700>{0}%</color>
",Erhöht den globalen Dornenschaden um <color=#ffd700>{0}%</color>,Aumenta el daño global de espinas en <color=#ffd700>{0}%</color>,Aumenta o dano global de espinhos em <color=#ffd700>{0}%</color>,Augmente les dégâts globaux d'épines de <color=#ffd700>{0}%</color>
