Key,English(en),Russian(ru),German(de),Spanish(es),Portuguese(pt),French(fr)
laser.desc,<color=#ffd700>Damage:</color> {0}\n<color=#ffd700>Damage type:</color> {1}\n<color=#ffd700>Attack speed:</color> {2}\n\n<color=#ffd700>Cost:</color> {3},<color=#ffd700>Урон:</color> {0}\n<color=#ffd700>Тип урона:</color> {1}\n<color=#ffd700>Скорость атаки:</color> {2}\n\n<color=#ffd700>Стоимость:</color>  {3},<color=#ffd700>Schaden:</color> {0}\n<color=#ffd700>Schadensart:</color> {1}\n<color=#ffd700>Angriffstempo:</color> {2}\n\n<color=#ffd700>Kosten:</color> {3},<color=#ffd700>Daño:</color> {0}\n<color=#ffd700>Tipo de daño:</color> {1}\n<color=#ffd700>Velocidad de ataque:</color> {2}\n\n<color=#ffd700>Coste:</color> {3},<color=#ffd700>Dano:</color> {0}\n<color=#ffd700>Tipo de dano:</color> {1}\n<color=#ffd700>Velocidade de ataque:</color> {2}\n\n<color=#ffd700>Custo:</color> {3},<color=#ffd700>Dégâts:</color> {0}\n<color=#ffd700>Type de dégâts:</color> {1}\n<color=#ffd700>Vitesse d'attaque:</color> {2}\n\n<color=#ffd700>Coût:</color> {3}
log.name,<color=#ffd700>Log</color>,<color=#ffd700>Бревно</color>,<color=#ffd700>Baumstamm</color>,<color=#ffd700>Tronco</color>,<color=#ffd700>Tronco</color>,<color=#ffd700>Rondin</color>
log.desc,Sends a log at the enemy that deals damage to everyone in its path\n<color=#ffd700>Damage:</color> {0}\n<color=#ffd700>Damage type:</color> {1}\n<color=#ffd700>Attack speed:</color> {2}\n\n<color=#ffd700>Cost:</color> {3},"Направляет во врага бревно, которая наносит урон всем на своем пути\n<color=#ffd700>Урон:</color> {0}\n<color=#ffd700>Тип урона:</color> {1}\n<color=#ffd700>Скорость атаки:</color> {2}\n\n<color=#ffd700>Стоимость:</color>  {3}","Rollt einen Baumstamm, der allen Gegnern auf seinem Weg Schaden zufügt\n<color=#ffd700>Schaden:</color> {0}\n<color=#ffd700>Schadensart:</color> {1}\n<color=#ffd700>Angriffstempo:</color> {2}\n\n<color=#ffd700>Kosten:</color> {3}",Lanza un tronco que daña a todos en su camino\n<color=#ffd700>Daño:</color> {0}\n<color=#ffd700>Tipo de daño:</color> {1}\n<color=#ffd700>Velocidad de ataque:</color> {2}\n\n<color=#ffd700>Coste:</color> {3},Lança um tronco que causa dano a todos em seu caminho\n<color=#ffd700>Dano:</color> {0}\n<color=#ffd700>Tipo de dano:</color> {1}\n<color=#ffd700>Velocidade de ataque:</color> {2}\n\n<color=#ffd700>Custo:</color> {3},Lance un rondin qui inflige des dégâts à tous sur son passage\n<color=#ffd700>Dégâts:</color> {0}\n<color=#ffd700>Type de dégâts:</color> {1}\n<color=#ffd700>Vitesse d'attaque:</color> {2}\n\n<color=#ffd700>Coût:</color> {3}
tornado.name,<color=#ffd700>Tornado</color>,<color=#ffd700>Торнадо</color>,<color=#ffd700>Tornado</color>,<color=#ffd700>Tornado</color>,<color=#ffd700>Tornado</color>,<color=#ffd700>Tornade</color>
tornado.desc,"On hit, knocks the enemy back away from the tower. Deals damage to all enemies in its path. Changes target after each shot\n<color=#ffd700>Damage:</color> {0}\n<color=#ffd700>Damage type:</color> {1}\n<color=#ffd700>Attack speed:</color> {2}\n\n<color=#ffd700>Cost:</color> {3}",При попадании во врага отталкивает от башни. Наносит урон всем врагам на своем пути. После каждого выстрела меняет цель\n<color=#ffd700>Урон:</color> {0}\n<color=#ffd700>Тип урона:</color> {1}\n<color=#ffd700>Скорость атаки:</color> {2}\n\n<color=#ffd700>Стоимость:</color>  {3},Stößt den Gegner beim Treffer vom Turm weg. Verursacht Schaden an allen Gegnern auf dem Weg. Wechselt nach jedem Schuss das Ziel\n<color=#ffd700>Schaden:</color> {0}\n<color=#ffd700>Schadensart:</color> {1}\n<color=#ffd700>Angriffstempo:</color> {2}\n\n<color=#ffd700>Kosten:</color> {3},"Al impactar, empuja al enemigo lejos de la torre. Daña a todos los enemigos en su camino. Cambia de objetivo tras cada disparo\n<color=#ffd700>Daño:</color> {0}\n<color=#ffd700>Tipo de daño:</color> {1}\n<color=#ffd700>Velocidad de ataque:</color> {2}\n\n<color=#ffd700>Coste:</color> {3}","Ao atingir, empurra o inimigo para longe da torre. Causa dano a todos os inimigos no caminho. Muda de alvo após cada disparo\n<color=#ffd700>Dano:</color> {0}\n<color=#ffd700>Tipo de dano:</color> {1}\n<color=#ffd700>Velocidade de ataque:</color> {2}\n\n<color=#ffd700>Custo:</color> {3}","Au contact, repousse l'ennemi loin de la tour. Inflige des dégâts à tous les ennemis sur son passage. Change de cible après chaque tir\n<color=#ffd700>Dégâts:</color> {0}\n<color=#ffd700>Type de dégâts:</color> {1}\n<color=#ffd700>Vitesse d'attaque:</color> {2}\n\n<color=#ffd700>Coût:</color> {3}"
blizzard.name,<color=#ffd700>Blizzard</color>,<color=#ffd700>Ледяная буря</color>,<color=#ffd700>Blizzard</color>,<color=#ffd700>Ventisca</color>,<color=#ffd700>Nevasca</color>,<color=#ffd700>Blizzard</color>
blizzard.desc,"An icy storm crashes down from the sky, dealing area damage\n<color=#ffd700>Damage:</color> {0}\n<color=#ffd700>Damage type:</color> {1}\n<color=#ffd700>Attack speed:</color> {2}\n<color=#ffd700>Area damage:</color> Yes\n\n<color=#ffd700>Cost:</color> {3}","С неба обрушивается ледяная буря, которая наносит урон по области\n<color=#ffd700>Урон:</color> {0}\n<color=#ffd700>Тип урона:</color> {1}\n<color=#ffd700>Скорость атаки:</color> {2}\n<color=#ffd700>Урон по области:</color> Да\n\n<color=#ffd700>Стоимость:</color>  {3}",Ein Eissturm stürzt vom Himmel herab und verursacht Flächenschaden\n<color=#ffd700>Schaden:</color> {0}\n<color=#ffd700>Schadensart:</color> {1}\n<color=#ffd700>Angriffstempo:</color> {2}\n<color=#ffd700>Flächenschaden:</color> Ja\n\n<color=#ffd700>Kosten:</color> {3},"Una tormenta de hielo cae del cielo, infligiendo daño en área\n<color=#ffd700>Daño:</color> {0}\n<color=#ffd700>Tipo de daño:</color> {1}\n<color=#ffd700>Velocidad de ataque:</color> {2}\n<color=#ffd700>Daño en área:</color> Sí\n\n<color=#ffd700>Coste:</color> {3}","Uma tempestade de gelo cai do céu, causando dano em área\n<color=#ffd700>Dano:</color> {0}\n<color=#ffd700>Tipo de dano:</color> {1}\n<color=#ffd700>Velocidade de ataque:</color> {2}\n<color=#ffd700>Dano em área:</color> Sim\n\n<color=#ffd700>Custo:</color> {3}","Une tempête de glace s'abat du ciel, infligeant des dégâts de zone\n<color=#ffd700>Dégâts:</color> {0}\n<color=#ffd700>Type de dégâts:</color> {1}\n<color=#ffd700>Vitesse d'attaque:</color> {2}\n<color=#ffd700>Dégâts de zone:</color> Oui\n\n<color=#ffd700>Coût:</color> {3}"
chaos_fire.name,<color=#ffd700>Doomfire</color>,<color=#ffd700>Огонь рока</color>,<color=#ffd700>Verhängnisfeuer</color>,<color=#ffd700>Fuego fatídico</color>,<color=#ffd700>Fogo da perdição</color>,<color=#ffd700>Feu du destin</color>
chaos_fire.desc,Creates a fiery aura around the tower that gradually damages enemies\n<color=#ffd700>Damage:</color> {0}\n<color=#ffd700>Damage type:</color> {1}\n<color=#ffd700>Attack speed:</color> {2}\n\n<color=#ffd700>Cost:</color> {3},"Создает вокруг башни огненную ауру, которая постепенно наносит урон врагам\n<color=#ffd700>Урон:</color> {0}\n<color=#ffd700>Тип урона:</color> {1}\n<color=#ffd700>Скорость атаки:</color> {2}\n\n<color=#ffd700>Стоимость:</color>  {3}","Erzeugt eine feurige Aura um den Turm, die Gegnern nach und nach Schaden zufügt\n<color=#ffd700>Schaden:</color> {0}\n<color=#ffd700>Schadensart:</color> {1}\n<color=#ffd700>Angriffstempo:</color> {2}\n\n<color=#ffd700>Kosten:</color> {3}",Crea un aura de fuego alrededor de la torre que daña gradualmente a los enemigos\n<color=#ffd700>Daño:</color> {0}\n<color=#ffd700>Tipo de daño:</color> {1}\n<color=#ffd700>Velocidad de ataque:</color> {2}\n\n<color=#ffd700>Coste:</color> {3},Cria uma aura de fogo ao redor da torre que causa dano gradual aos inimigos\n<color=#ffd700>Dano:</color> {0}\n<color=#ffd700>Tipo de dano:</color> {1}\n<color=#ffd700>Velocidade de ataque:</color> {2}\n\n<color=#ffd700>Custo:</color> {3},Crée une aura de feu autour de la tour qui inflige progressivement des dégâts aux ennemis\n<color=#ffd700>Dégâts:</color> {0}\n<color=#ffd700>Type de dégâts:</color> {1}\n<color=#ffd700>Vitesse d'attaque:</color> {2}\n\n<color=#ffd700>Coût:</color> {3}
magic_circle.name,<color=#ffd700>Magic Circle</color>,<color=#ffd700>Цикл</color>,<color=#ffd700>Magischer Kreis</color>,<color=#ffd700>Círculo mágico</color>,<color=#ffd700>Círculo mágico</color>,<color=#ffd700>Cercle magique</color>
magic_circle.desc,Creates a magical force around the tower that damages all enemies on the map\n<color=#ffd700>Damage:</color> {0}\n<color=#ffd700>Damage type:</color> {1}\n<color=#ffd700>Attack speed:</color> {2}\n\n<color=#ffd700>Cost:</color> {3},"Создает вокруг башни магическую силу, которая наносит урон всем на карте\n<color=#ffd700>Урон:</color> {0}\n<color=#ffd700>Тип урона:</color> {1}\n<color=#ffd700>Скорость атаки:</color> {2}\n\n<color=#ffd700>Стоимость:</color>  {3}","Erzeugt eine magische Kraft um den Turm, die allen Gegnern auf der Karte Schaden zufügt\n<color=#ffd700>Schaden:</color> {0}\n<color=#ffd700>Schadensart:</color> {1}\n<color=#ffd700>Angriffstempo:</color> {2}\n\n<color=#ffd700>Kosten:</color> {3}",Crea una fuerza mágica alrededor de la torre que daña a todos los enemigos del mapa\n<color=#ffd700>Daño:</color> {0}\n<color=#ffd700>Tipo de daño:</color> {1}\n<color=#ffd700>Velocidad de ataque:</color> {2}\n\n<color=#ffd700>Coste:</color> {3},Cria uma força mágica ao redor da torre que causa dano a todos os inimigos no mapa\n<color=#ffd700>Dano:</color> {0}\n<color=#ffd700>Tipo de dano:</color> {1}\n<color=#ffd700>Velocidade de ataque:</color> {2}\n\n<color=#ffd700>Custo:</color> {3},Crée une force magique autour de la tour qui inflige des dégâts à tous les ennemis de la carte\n<color=#ffd700>Dégâts:</color> {0}\n<color=#ffd700>Type de dégâts:</color> {1}\n<color=#ffd700>Vitesse d'attaque:</color> {2}\n\n<color=#ffd700>Coût:</color> {3}
meteor.name,<color=#ffd700>Meteor</color>,<color=#ffd700>Астеройд</color>,<color=#ffd700>Meteor</color>,<color=#ffd700>Meteoro</color>,<color=#ffd700>Meteoro</color>,<color=#ffd700>Météore</color>
meteor.desc,"A meteor falls from the sky, dealing massive area damage\n<color=#ffd700>Damage:</color> {0}\n<color=#ffd700>Damage type:</color> {1}\n<color=#ffd700>Attack speed:</color> {2}\n<color=#ffd700>Area damage:</color> Yes\n\n<color=#ffd700>Cost:</color> {3}","С неба обрушивается астеройд, который наносит большой урон по области\n<color=#ffd700>Урон:</color> {0}\n<color=#ffd700>Тип урона:</color> {1}\n<color=#ffd700>Скорость атаки:</color> {2}\n<color=#ffd700>Урон по области:</color> Да\n\n<color=#ffd700>Стоимость:</color>  {3}",Ein Meteor fällt vom Himmel und verursacht massiven Flächenschaden\n<color=#ffd700>Schaden:</color> {0}\n<color=#ffd700>Schadensart:</color> {1}\n<color=#ffd700>Angriffstempo:</color> {2}\n<color=#ffd700>Flächenschaden:</color> Ja\n\n<color=#ffd700>Kosten:</color> {3},"Un meteoro cae del cielo, infligiendo un enorme daño en área\n<color=#ffd700>Daño:</color> {0}\n<color=#ffd700>Tipo de daño:</color> {1}\n<color=#ffd700>Velocidad de ataque:</color> {2}\n<color=#ffd700>Daño en área:</color> Sí\n\n<color=#ffd700>Coste:</color> {3}","Um meteoro cai do céu, causando um dano em área massivo\n<color=#ffd700>Dano:</color> {0}\n<color=#ffd700>Tipo de dano:</color> {1}\n<color=#ffd700>Velocidade de ataque:</color> {2}\n<color=#ffd700>Dano em área:</color> Sim\n\n<color=#ffd700>Custo:</color> {3}","Un météore tombe du ciel, infligeant d'énormes dégâts de zone\n<color=#ffd700>Dégâts:</color> {0}\n<color=#ffd700>Type de dégâts:</color> {1}\n<color=#ffd700>Vitesse d'attaque:</color> {2}\n<color=#ffd700>Dégâts de zone:</color> Oui\n\n<color=#ffd700>Coût:</color> {3}"
slashing_spin.name,<color=#ffd700>Spinning Blades</color>,<color=#ffd700>Вращающийся клинки</color>,<color=#ffd700>Wirbelnde Klingen</color>,<color=#ffd700>Cuchillas giratorias</color>,<color=#ffd700>Lâminas giratórias</color>,<color=#ffd700>Lames tournoyantes</color>
slashing_spin.desc,"Spawns blades at a random location for 15 seconds, dealing damage to nearby enemies\n<color=#ffd700>Damage:</color> {0}\n<color=#ffd700>Damage type:</color> {1}\n<color=#ffd700>Attack speed:</color> {2}\n<color=#ffd700>Area damage:</color> Yes\n\n<color=#ffd700>Cost:</color> {3}","В случайной точке создает клинки на 15 секунд, которые наносят урон врагам вокруг себя\n<color=#ffd700>Урон:</color> {0}\n<color=#ffd700>Тип урона:</color> {1}\n<color=#ffd700>Скорость атаки:</color> {2}\n<color=#ffd700>Урон по области:</color> Да\n\n<color=#ffd700>Стоимость:</color>  {3}","Erzeugt für 15 Sekunden Klingen an einem zufälligen Ort, die nahen Gegnern Schaden zufügen\n<color=#ffd700>Schaden:</color> {0}\n<color=#ffd700>Schadensart:</color> {1}\n<color=#ffd700>Angriffstempo:</color> {2}\n<color=#ffd700>Flächenschaden:</color> Ja\n\n<color=#ffd700>Kosten:</color> {3}","Genera cuchillas en un lugar aleatorio durante 15 segundos, dañando a los enemigos cercanos\n<color=#ffd700>Daño:</color> {0}\n<color=#ffd700>Tipo de daño:</color> {1}\n<color=#ffd700>Velocidad de ataque:</color> {2}\n<color=#ffd700>Daño en área:</color> Sí\n\n<color=#ffd700>Coste:</color> {3}","Gera lâminas em um local aleatório por 15 segundos, causando dano aos inimigos próximos\n<color=#ffd700>Dano:</color> {0}\n<color=#ffd700>Tipo de dano:</color> {1}\n<color=#ffd700>Velocidade de ataque:</color> {2}\n<color=#ffd700>Dano em área:</color> Sim\n\n<color=#ffd700>Custo:</color> {3}","Fait apparaître des lames à un endroit aléatoire pendant 15 secondes, infligeant des dégâts aux ennemis proches\n<color=#ffd700>Dégâts:</color> {0}\n<color=#ffd700>Type de dégâts:</color> {1}\n<color=#ffd700>Vitesse d'attaque:</color> {2}\n<color=#ffd700>Dégâts de zone:</color> Oui\n\n<color=#ffd700>Coût:</color> {3}"
dtype.magic,Magic,Магический,Magisch,Mágico,Mágico,Magique
dtype.piercing,Piercing,Колющий,Durchdringend,Perforante,Perfurante,Perforant
dtype.normal,Normal,Обычный,Normal,Normal,Normal,Normal
dtype.projectile,Projectile,Снарядный,Projektil,Proyectil,Projétil,Projectile
dtype.heavy,Heavy,Тяжёлый,Schwer,Pesado,Pesado,Lourd
dtype.chaos,Chaos,Хаос,Chaos,Caos,Caos,Chaos
